scene,exp,variant,op,encoder,psnr,ssim,lpips,score,n_images
hcm0034,exp011,identity+jpeg98,identity,jpeg98,21.3987,0.73784,0.14898,0.72225,60
hcm0034,exp011,identity+jpeg95_444,identity,jpeg95_444,21.3959,0.73756,0.14771,0.72265,60
hcm0034,exp011,identity+png,identity,png,21.3993,0.73778,0.14809,0.72259,60
hcm0034,exp011,unsharp_r1_p50+jpeg75,unsharp_r1_p50,jpeg75,21.0322,0.73355,0.14221,0.72092,60
hcm0034,exp011,unsharp_r1_p50+jpeg90,unsharp_r1_p50,jpeg90,20.9453,0.73012,0.12777,0.72502,60
hcm0034,exp011,unsharp_r1_p50+jpeg95,unsharp_r1_p50,jpeg95,20.958,0.73059,0.12669,0.72568,60
hcm0034,exp011,unsharp_r1_p50+jpeg98,unsharp_r1_p50,jpeg98,20.9565,0.73047,0.12547,0.72613,60
hcm0034,exp011,unsharp_r1_p50+jpeg95_444,unsharp_r1_p50,jpeg95_444,20.9554,0.73034,0.1255,0.72607,60
hcm0034,exp011,unsharp_r1_p50+png,unsharp_r1_p50,png,20.9556,0.73034,0.12479,0.72635,60
hcm0034,exp011,unsharp_r1_p100+jpeg75,unsharp_r1_p100,jpeg75,20.2604,0.70993,0.12988,0.71298,60
hcm0034,exp011,unsharp_r1_p100+jpeg90,unsharp_r1_p100,jpeg90,20.3012,0.71266,0.12894,0.71448,60
hcm0034,exp011,unsharp_r1_p100+jpeg95,unsharp_r1_p100,jpeg95,20.3068,0.71294,0.1273,0.71526,60
hcm0034,exp011,unsharp_r1_p100+jpeg98,unsharp_r1_p100,jpeg98,20.3005,0.71243,0.12641,0.71542,60
hcm0034,exp011,unsharp_r1_p100+jpeg95_444,unsharp_r1_p100,jpeg95_444,20.3012,0.71253,0.12608,0.71559,60
hcm0034,exp011,unsharp_r1_p100+png,unsharp_r1_p100,png,20.2953,0.7122,0.12599,0.71548,60
hcm0034,exp011,unsharp_r2_p50+jpeg75,unsharp_r2_p50,jpeg75,20.4621,0.72233,0.15131,0.70964,60
hcm0034,exp011,unsharp_r2_p50+jpeg90,unsharp_r2_p50,jpeg90,20.4236,0.72051,0.142,0.71253,60
hcm0034,exp011,unsharp_r2_p50+jpeg95,unsharp_r2_p50,jpeg95,20.4419,0.72159,0.14369,0.71231,60
