scene,file,psnr,ssim,lpips,score,gt_sharpness,gt_brightness,width,height
hcm0034,DJI_20241230112504_0001_V.JPG,21.232295035242824,0.6940326323978914,0.23278042674064636,0.6424913892345658,3339.7956595626147,124.64918803811625,1320,989
hcm0034,DJI_20241230112508_0007_V.JPG,21.84010249147206,0.7217499643075586,0.21890729665756226,0.6600026855780751,2659.0659618870923,126.20935977571467,1320,989
hcm0034,DJI_20241230112513_0014_V.JPG,21.283157723124408,0.6830908046753804,0.2429913580417633,0.6354296445246552,2204.0666152802614,124.84435916291326,1320,989
hcm0034,DJI_20241230112515_0018_V.JPG,21.51030612525148,0.687377278348326,0.26157310605049133,0.6306457778358101,3348.085286166386,132.52552011520666,1320,989
hcm0034,DJI_20241230112520_0025_V.JPG,20.80191747217838,0.6885320737155617,0.2468426525592804,0.6326340659240266,3844.849285755311,129.97968639887245,1320,989
hcm0034,DJI_20241230112540_0033_V.JPG,20.430498604882366,0.6663501744134681,0.23476412892341614,0.6285823923839682,2818.601974729299,125.25704798235132,1320,989
hcm0034,DJI_20241230112542_0036_V.JPG,20.80811474694018,0.705302567557442,0.23159876465797424,0.643799952885684,2933.727952122799,125.99342387474339,1320,989
hcm0034,DJI_20241230112543_0038_V.JPG,20.417248981799187,0.6839686757634991,0.23939919471740723,0.6319344187328819,2876.723058991984,129.18426402549255,1320,989
hcm0034,DJI_20241230112544_0040_V.JPG,20.614848766254752,0.6795134744332797,0.24980038404464722,0.6276229813096535,2999.5412417201087,126.69450240524559,1320,989
hcm0034,DJI_20241230112545_0041_V.JPG,20.64581665556847,0.6609669393809524,0.25572022795677185,0.6198768905649878,3197.695944480725,125.49757024236297,1320,989
hcm0034,DJI_20241230112546_0042_V.JPG,20.048800775029193,0.6701327255010193,0.24698837101459503,0.6225372738946429,3331.468192392865,125.38292658638969,1320,989
hcm0034,DJI_20241230112550_0048_V.JPG,20.85566792363945,0.6880625371503754,0.2530859708786011,0.6303183803355089,3087.6663654742006,125.1186077151699,1320,989
hcm0034,DJI_20241230112553_0052_V.JPG,20.213355730789544,0.6741652170053691,0.2570691406726837,0.6207020432172745,2741.22047712105,131.45570901124492,1320,989
hcm0034,DJI_20241230112609_0068_V.JPG,21.24328749026663,0.7062245801523334,0.2351929098367691,0.6452499350525922,2920.6402918954127,126.0085822839109,1320,989
hcm0034,DJI_20241230112610_0069_V.JPG,20.774707122999132,0.6904793430021482,0.246439129114151,0.6332163939929789,2938.4211869069027,121.38154242117842,1320,989
hcm0034,DJI_20241230112611_0070_V.JPG,20.104074001022056,0.6668710884610318,0.26791059970855713,0.613521530661019,3248.7257612402313,128.7143816833655,1320,989
hcm0034,DJI_20241230112612_0072_V.JPG,20.15665507963459,0.6752843293822851,0.26676589250564575,0.6168188722902347,3012.900270398612,128.19575175414408,1320,989
hcm0034,DJI_20241230112613_0073_V.JPG,20.207176776152668,0.6704017815786236,0.2707308232784271,0.6140712658191323,2745.149425589791,129.0388661641695,1320,989
hcm0034,DJI_20241230112614_0074_V.JPG,19.950953454089863,0.6577126473364023,0.275187611579895,0.6069444702935018,2555.8318411551813,128.82611606458926,1320,989
hcm0034,DJI_20241230112615_0076_V.JPG,20.797665431397018,0.6881933719847807,0.2695325016975403,0.6234310035048002,2822.2068043918753,130.2449535802923,1320,989
hcm0034,DJI_20241230112616_0078_V.JPG,20.478723472784704,0.6989943891460345,0.26583462953567505,0.6262368057662486,3062.724992027493,131.44162223856358,1320,989
hcm0034,DJI_20241230112621_0085_V.JPG,20.48536154116437,0.6766030056594102,0.24253909289836884,0.6288774337854618,3017.862942372443,123.82188390477066,1320,989
hcm0034,DJI_20241230112623_0087_V.JPG,20.853287655016093,0.707189531727232,0.23751378059387207,0.6422710732107174,2882.1460372580395,127.16698838741306,1320,989
hcm0034,DJI_20241230112648_0101_V.JPG,20.78877241283083,0.7017501238335632,0.22298428416252136,0.6460639579620454,3475.6239213513427,123.78700094984221,1320,989
hcm0034,DJI_20241230112649_0102_V.JPG,21.1842498895978,0.7007580636144973,0.22560030221939087,0.6470927975341796,3312.518063415006,125.1470432331403,1320,989
hcm0034,DJI_20241230112649_0103_V.JPG,21.257732855111446,0.6978331778114244,0.2134595811367035,0.6515125180194146,3149.128548666944,127.01015794956645,1320,989
hcm0034,DJI_20241230112656_0113_V.JPG,21.98821068714429,0.7152475894430053,0.24210098385810852,0.649663147412524,2423.453672106424,128.06376275392958,1320,989
hcm0034,DJI_20241230112658_0116_V.JPG,21.636847530424394,0.7157452715595861,0.24344342947006226,0.6471672948623972,3086.5151276267943,132.23524757177438,1320,989
